gate_id,observed_value,threshold,comparison,passed,required_for_protocol_success,interpretation,overall_protocol_success_gate_pass,tract_date_row_count,independent_date_count,independent_spatial_block_count,input_oof_sha256,input_summary_metrics_sha256,input_compile_provenance_file_sha256,input_compile_provenance_commit_sha256,analysis_config_semantic_sha256
median_per_date_spearman,0.792785472915799,0.5,>=,True,True,M2 joint median per-date Spearman must reach 0.50.,True,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
point_relative_mae_improvement,0.16189610365421886,0.1,>=,True,True,Point improvement over the strongest legal baseline must reach 10%.,True,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
uncertainty_supports_positive_improvement,0.04208776240532559,0.0,>,True,True,The 95% relative-improvement CI lower bound must exceed zero.,True,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
uncertainty_supports_full_ten_percent_improvement,0.04208776240532559,0.1,>,False,False,Stronger descriptive check: whether the 95% CI itself clears 10%; this is reported separately and is not substituted for the protocol gate.,True,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
