tract_geoid,tract_date_row_count,independent_date_count,b1_mean_absolute_error_c,m2_mean_absolute_error_c,m2_minus_b1_mean_absolute_error_c,m2_relative_improvement_fraction,m2_mean_residual_c,m2_underprediction_fraction,median_st_uncertainty_k,median_valid_fraction,sentinel_missing_row_fraction
06037296210,9,9,4.868035450493557,5.535570201113314,0.6675347506197573,-0.13712610711412912,-5.34228770248854,0.7777777777777778,2.97,1.0,0.0
06037296220,11,11,4.1967026950934905,5.328537582918593,1.1318348878251028,-0.2696962282194471,-5.049723289882473,0.8181818181818182,3.1,0.9847972972972973,0.0
06037297110,8,8,5.042388437513122,4.670746677365785,-0.3716417601473365,0.07370351664748545,-4.44136637498248,0.75,3.1799999999999997,0.7527777777777778,0.0
06037275312,10,10,3.9410968500299375,3.9701058978841717,0.029009047854234193,-0.0073606533810540165,3.9701058978841717,0.0,3.015,0.747093023255814,0.0
06037267901,38,38,5.1946888942297305,3.9305942742812867,-1.2640946199484437,0.2433436622841076,3.648183368734773,0.13157894736842105,2.13,0.9882780921584479,0.02631578947368421
06037296401,47,47,2.5981353910574017,3.9236873892297797,1.325551998172378,-0.5101935806481965,-3.6410151745943207,0.8723404255319149,2.56,1.0,0.02127659574468085
06037265301,43,43,5.909019035864191,3.791921076971627,-2.1170979588925642,0.35828247396785373,3.512817462169923,0.09302325581395349,2.27,1.0,0.0
06037296402,51,51,2.5729651481792892,3.635514895295752,1.0625497471164627,-0.4129670189541262,-3.198417296351997,0.8431372549019608,2.6,1.0,0.0
06037294830,22,22,3.8549881987604135,3.6211785183725156,-0.23380968038789796,0.06065120522627809,-3.312387338572019,0.9090909090909091,3.06,0.8856275303643725,0.0
06037135205,65,65,2.3866519172875797,3.6110783672303746,1.2244264499427948,-0.5130310126389735,-3.020202871412398,0.8461538461538461,2.05,1.0,0.0
06037214100,60,60,4.059580668014257,3.331614556284225,-0.7279661117300318,0.17932051885696762,2.93221801222662,0.1,2.1,1.0,0.0
06037207304,43,43,2.3147669235895796,3.3237106777386063,1.0089437541490267,-0.435872719567129,2.9174775622223,0.11627906976744186,2.0100000000000002,1.0,0.023255813953488372
06037134305,65,65,4.4982977432420705,3.3175259430719195,-1.180771800170151,0.26249302904505606,-2.2468676351714416,0.8,2.09,1.0,0.0
06037207901,46,46,2.907609497884179,3.316863721586984,0.40925422370280495,-0.140752815672329,2.8069720856295484,0.13043478260869565,2.0250000000000004,0.9352678571428572,0.0
06037275605,26,26,3.013420486908559,3.1852621738722418,0.17184168696368296,-0.05702545917844138,2.343032450770473,0.15384615384615385,2.665,0.9969104016477858,0.038461538461538464
06037207502,43,43,4.107953778566595,3.1677564821878645,-0.9401972963787308,0.2288724136294439,2.7839762194425686,0.13953488372093023,2.02,0.9418103448275862,0.023255813953488372
06037262400,48,48,9.037622481659314,3.161689657201668,-5.875932824457646,0.6501635619746334,1.9134505458016955,0.25,2.145,0.9544147023571714,0.0
06037265307,45,45,3.8703971505789854,3.150027704197875,-0.7203694463811106,0.1861228753419654,2.5360682636802774,0.17777777777777778,2.21,1.0,0.0
06037137401,64,64,2.3101209853902547,3.1486981389866235,0.8385771535963689,-0.36300140074902004,-2.3222984227996384,0.8125,2.0949999999999998,1.0,0.0
06037294701,25,25,3.2277028874303295,3.129771944364487,-0.0979309430658426,0.03034075516901382,-2.702991647656413,0.84,2.98,0.8197226502311248,0.0
06037143605,54,54,3.076607767673736,3.1148970131548643,0.03828924548112855,-0.012445280117744604,2.3828065607039215,0.14814814814814814,2.0949999999999998,0.9972527472527473,0.0
06037297001,39,39,2.248310040445015,3.105222317213485,0.8569122767684703,-0.3811361695466427,-2.984396762362102,0.9230769230769231,2.81,1.0,0.02564102564102564
06037207712,43,43,3.628212558108701,3.1044480927315026,-0.5237644653771985,0.14435881497809053,2.587397215578542,0.13953488372093023,2.02,0.9669603524229075,0.023255813953488372
06037273700,43,43,3.6408381813894715,3.0632174509615946,-0.5776207304278769,0.15865048146892277,2.537830841259631,0.11627906976744186,2.9,1.0,0.0
06037274202,2,2,2.887957455745056,3.0588293024118904,0.17087184666683441,-0.05916702350545939,3.0588293024118904,0.0,1.615,0.9950544015825915,0.0
