target_date,platform,tract_date_row_count,independent_spatial_block_count,b1_mae_c,m2_mae_c,m2_minus_b1_mae_c,m2_relative_improvement_fraction,m2_bias_c,m2_underprediction_fraction,median_st_uncertainty_k,median_valid_fraction,retained_tract_fraction,sentinel_missing_row_count,relative_endpoint_coverage_pass
2024-07-14,landsat-8,592,47,3.0500111862177066,6.635071844963997,3.5850606587462908,-1.1754254131743347,6.635071844963997,0.0,2.73,1.0,0.5401459854014599,0,False
2020-09-05,landsat-8,1086,71,4.42823478073709,6.139841058032956,1.711606277295866,-0.386521122308462,-6.110599477710495,0.9852670349907919,1.92,1.0,0.9908759124087592,0,True
2022-07-17,landsat-9,1008,69,5.266507270830191,5.9421265212759735,0.6756192504457825,-0.12828601874108506,-5.93530158719528,0.9930555555555556,2.48,1.0,0.9197080291970803,0,False
2024-09-08,landsat-9,1087,71,4.185383066243281,5.285558526865531,1.1001754606222498,-0.26286135419612766,-5.280400230015385,0.9954001839926403,2.05,1.0,0.9917883211678832,0,True
2021-09-08,landsat-8,1020,65,2.7353414930804907,5.279504811164062,2.5441633180835717,-0.9301081142955874,5.279325651211136,0.000980392156862745,2.21,1.0,0.9306569343065694,1,False
2020-05-16,landsat-8,1061,69,3.1255883634628665,4.346501904580142,1.2209135411172758,-0.39061878889407403,-4.279209766210898,0.9632422243166824,2.15,1.0,0.968065693430657,14,True
2023-07-04,landsat-9,1059,66,3.8534953624023998,4.281904816498909,0.42840945409650955,-0.11117424930010154,4.2808420635932904,0.0018885741265344666,1.97,1.0,0.9662408759124088,0,True
2022-05-14,landsat-9,989,69,2.876223528787611,4.235162981734354,1.3589394529467431,-0.47247351930243225,-3.658807389804908,0.9039433771486349,2.08,1.0,0.9023722627737226,0,False
2022-09-27,landsat-8,1081,71,2.5417284595962566,3.8616329123783624,1.3199044527821058,-0.5192940448846244,-3.8578061701692663,0.9953746530989824,1.8250000000000002,1.0,0.9863138686131386,0,True
2021-10-26,landsat-8,1094,71,4.100202421640214,2.9749249857553033,-1.1252774358849105,0.27444436156270624,2.9724772668043853,0.0018281535648994515,1.71,1.0,0.9981751824817519,2,True
2023-08-29,landsat-8,1088,71,3.0872390625085493,2.9574100400159398,-0.12982902249260952,0.042053439939023184,2.745593233795126,0.046875,1.81,1.0,0.9927007299270073,0,True
2024-09-24,landsat-9,641,50,5.111097144895808,2.8918144675474733,-2.219282677348335,0.4342086668347948,2.721922361171048,0.056162246489859596,2.1,1.0,0.5848540145985401,0,False
2023-05-17,landsat-9,788,52,2.0281247041392323,2.762225325485216,0.7341006213459838,-0.3619602975338479,2.649234731875594,0.04314720812182741,2.11,1.0,0.718978102189781,0,False
2024-08-23,landsat-9,1041,70,2.2279590905083495,2.6365239560068017,0.40856486549845217,-0.18338077536478942,2.1581690318347744,0.25456292026897215,2.09,1.0,0.9498175182481752,0,True
2023-07-12,landsat-8,1060,69,3.138705784508923,2.4987515205056656,-0.6399542640032574,0.20389112836308218,-2.4387856558570853,0.9490566037735849,2.3000000000000003,1.0,0.9671532846715328,0,True
2024-10-18,landsat-8,1091,71,2.1760126885363897,2.48893670779678,0.3129240192603904,-0.1438061555931765,2.3608844484128184,0.14390467461044912,2.0,1.0,0.9954379562043796,0,True
2024-08-07,landsat-9,849,67,3.836862827241896,2.3758152227974305,-1.4610476044444654,0.38079224361917835,2.2756575727510695,0.08480565371024736,2.24,1.0,0.7746350364963503,0,False
2023-08-13,landsat-8,1063,68,1.7519784440089987,2.174410750696855,0.42243230668785614,-0.24111729692359526,-2.124383192154158,0.9595484477892756,2.07,1.0,0.9698905109489051,0,True
2023-09-22,landsat-9,707,54,2.077936292530837,2.140127843782766,0.06219155125192888,-0.029929479298993446,1.8293108401969453,0.1782178217821782,2.17,1.0,0.6450729927007299,0,False
2023-10-16,landsat-8,936,62,2.0795254376278463,2.110302385553768,0.03077694792592167,-0.01479998627043943,-2.073096829977511,0.9636752136752137,2.12,1.0,0.8540145985401459,4,False
2024-10-10,landsat-9,870,58,1.4267581035828811,2.0087012438499166,0.5819431402670354,-0.4078779288553941,1.9424143681423578,0.05747126436781609,2.12,1.0,0.7937956204379562,0,False
2021-06-04,landsat-8,953,61,1.8495261221263113,1.9924774340796199,0.14295131195330857,-0.07729077748248525,1.8826671117663527,0.07450157397691501,2.12,1.0,0.8695255474452555,9,False
2022-06-23,landsat-8,1059,69,2.230892934401994,1.9090533152176783,-0.3218396191843156,0.1442649327636097,-0.7606204496120311,0.5769593956562795,2.08,1.0,0.9662408759124088,0,True
2020-08-20,landsat-8,1080,71,2.0589452645085715,1.8177550740850426,-0.24119019042352896,0.11714259459981136,1.1411064898223902,0.19907407407407407,2.1,1.0,0.9854014598540146,2,True
2024-05-27,landsat-8,680,46,1.4673992084043248,1.8142423616952201,0.3468431532908953,-0.2363659127689312,1.7818590642666892,0.039705882352941174,2.255,1.0,0.6204379562043796,0,False
