family,reduced_scenario_id,reduced_feature_set_description,all_feature_scenario_id,comparison_direction,analysis_label,bootstrap_method,bootstrap_sampling_unit,bootstrap_estimand,date_block_cell_aggregation,complete_date_resampling,complete_spatial_block_resampling,date_and_block_draws_independent,bootstrap_seed,bootstrap_replicates,confidence_level,percentile_interval_method,paired_models_share_every_cluster_draw,random_row_sampling_used,date_block_cell_count,independent_date_count,independent_spatial_block_count,tract_date_row_count,zero_observation_sampled_date_draw_count,baseline_point_mae_c,target_model_point_mae_c,absolute_mae_improvement_c,absolute_mae_improvement_ci_lower_c,absolute_mae_improvement_ci_upper_c,relative_mae_improvement_fraction,relative_mae_improvement_percent,relative_mae_improvement_ci_lower_fraction,relative_mae_improvement_ci_upper_fraction,relative_mae_improvement_ci_lower_percent,relative_mae_improvement_ci_upper_percent,probability_improvement_gt_zero,probability_relative_improvement_gt_10_percent
joint,calendar_weather,calendar + weather,all_features,positive_means_all_features_lower_date_macro_mae_than_reduced_refit,reduced_feature_set_refit_comparison_not_causal_or_leave_one_family_out,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,row_count_and_paired_absolute_error_sums,True,True,True,20260726,5000,0.95,linear,True,False,4202,65,71,63403,0,2.565019855709145,2.108787916748636,0.45623193896050873,0.24853294449592922,0.6590081722226965,0.17786682545362809,17.786682545362808,0.09619113683185661,0.2582029040208805,9.619113683185661,25.820290402088048,1.0,0.9674
joint,calendar_land_use_geography,calendar + land_use + geography,all_features,positive_means_all_features_lower_date_macro_mae_than_reduced_refit,reduced_feature_set_refit_comparison_not_causal_or_leave_one_family_out,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,row_count_and_paired_absolute_error_sums,True,True,True,20260727,5000,0.95,linear,True,False,4202,65,71,63403,0,3.3520431001261013,2.108787916748636,1.2432551833774652,0.7516850347139373,1.764750324505958,0.3708947487371791,37.08947487371791,0.25333712142731685,0.4689522131595536,25.333712142731684,46.89522131595536,1.0,1.0
joint,calendar_satellite,calendar + lagged satellite,all_features,positive_means_all_features_lower_date_macro_mae_than_reduced_refit,reduced_feature_set_refit_comparison_not_causal_or_leave_one_family_out,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,row_count_and_paired_absolute_error_sums,True,True,True,20260728,5000,0.95,linear,True,False,4202,65,71,63403,0,3.6142046911422336,2.108787916748636,1.5054167743935976,1.0501077511229564,2.0056554123201282,0.41652781262862715,41.65278126286272,0.3197400823421254,0.5017123328101101,31.97400823421254,50.171233281011006,1.0,1.0
