physical_acquisition_id,platform,acquired_utc,acquisition_local_date,relative_orbit,normalized_datatake_id,processing_baseline,generation_time,union_city_coverage_fraction,item_count,item_ids,mgrs_tiles
sentinel-2a|2020-07-27T18:29:21.024000Z|R27|GS2A_20200727T182921_026622,sentinel-2a,2020-07-27T18:29:21.024000Z,2020-07-27,27,GS2A_20200727T182921_026622,02.12,2020-09-08T08:01:32.699000Z,0.9999999999999992,2,S2A_MSIL2A_20200727T182921_R027_T11SLT_20200817T181338|S2A_MSIL2A_20200727T182921_R027_T11SLU_20200908T080132,11SLT|11SLU
sentinel-2a|2020-08-06T18:29:21.024000Z|R27|GS2A_20200806T182921_026765,sentinel-2a,2020-08-06T18:29:21.024000Z,2020-08-06,27,GS2A_20200806T182921_026765,02.12,2020-10-25T05:31:20.176000Z,0.9999999999999992,2,S2A_MSIL2A_20200806T182921_R027_T11SLT_20201025T053120|S2A_MSIL2A_20200806T182921_R027_T11SLU_20201025T053023,11SLT|11SLU
sentinel-2a|2020-08-16T18:29:21.024000Z|R27|GS2A_20200816T182921_026908,sentinel-2a,2020-08-16T18:29:21.024000Z,2020-08-16,27,GS2A_20200816T182921_026908,02.12,2020-08-18T13:02:08.258000Z,0.9999999999999992,2,S2A_MSIL2A_20200816T182921_R027_T11SLT_20200818T130203|S2A_MSIL2A_20200816T182921_R027_T11SLU_20200818T130208,11SLT|11SLU
sentinel-2a|2020-08-26T18:29:21.024000Z|R27|GS2A_20200826T182921_027051,sentinel-2a,2020-08-26T18:29:21.024000Z,2020-08-26,27,GS2A_20200826T182921_027051,02.12,2020-08-27T20:47:51.532000Z,0.9999999999999992,2,S2A_MSIL2A_20200826T182921_R027_T11SLT_20200827T204619|S2A_MSIL2A_20200826T182921_R027_T11SLU_20200827T204751,11SLT|11SLU
sentinel-2a|2020-09-05T18:29:21.024000Z|R27|GS2A_20200905T182921_027194,sentinel-2a,2020-09-05T18:29:21.024000Z,2020-09-05,27,GS2A_20200905T182921_027194,02.12,2020-09-08T02:58:47.967000Z,0.9999999999999992,2,S2A_MSIL2A_20200905T182921_R027_T11SLT_20200908T025815|S2A_MSIL2A_20200905T182921_R027_T11SLU_20200908T025847,11SLT|11SLU
sentinel-2a|2020-09-15T18:30:11.024000Z|R27|GS2A_20200915T183011_027337,sentinel-2a,2020-09-15T18:30:11.024000Z,2020-09-15,27,GS2A_20200915T183011_027337,02.12,2020-09-17T20:19:59.394000Z,0.9999999999999992,2,S2A_MSIL2A_20200915T183011_R027_T11SLT_20200917T201959|S2A_MSIL2A_20200915T183011_R027_T11SLU_20200917T194524,11SLT|11SLU
sentinel-2a|2020-09-25T18:31:21.024000Z|R27|GS2A_20200925T183121_027480,sentinel-2a,2020-09-25T18:31:21.024000Z,2020-09-25,27,GS2A_20200925T183121_027480,02.12,2020-09-26T21:49:11.328000Z,0.9999999999999992,2,S2A_MSIL2A_20200925T183121_R027_T11SLT_20200926T214907|S2A_MSIL2A_20200925T183121_R027_T11SLU_20200926T214911,11SLT|11SLU
sentinel-2a|2020-10-15T18:33:41.024000Z|R27|GS2A_20201015T183341_027766,sentinel-2a,2020-10-15T18:33:41.024000Z,2020-10-15,27,GS2A_20201015T183341_027766,02.12,2020-10-19T06:17:41.992000Z,0.9999999999999992,2,S2A_MSIL2A_20201015T183341_R027_T11SLT_20201019T061725|S2A_MSIL2A_20201015T183341_R027_T11SLU_20201019T061741,11SLT|11SLU
sentinel-2a|2021-03-04T18:32:41.024000Z|R27|GS2A_20210304T183241_029768,sentinel-2a,2021-03-04T18:32:41.024000Z,2021-03-04,27,GS2A_20210304T183241_029768,02.12,2021-03-05T06:13:55.636000Z,0.9999999999999992,2,S2A_MSIL2A_20210304T183241_R027_T11SLT_20210305T045505|S2A_MSIL2A_20210304T183241_R027_T11SLU_20210305T061355,11SLT|11SLU
sentinel-2a|2021-03-14T18:31:31.024000Z|R27|GS2A_20210314T183131_029911,sentinel-2a,2021-03-14T18:31:31.024000Z,2021-03-14,27,GS2A_20210314T183131_029911,02.12,2021-03-15T06:13:51.142000Z,0.9999999999999992,2,S2A_MSIL2A_20210314T183131_R027_T11SLT_20210315T061351|S2A_MSIL2A_20210314T183131_R027_T11SLU_20210315T053329,11SLT|11SLU
sentinel-2a|2021-03-24T18:30:21.024000Z|R27|GS2A_20210324T183021_030054,sentinel-2a,2021-03-24T18:30:21.024000Z,2021-03-24,27,GS2A_20210324T183021_030054,02.12,2021-03-25T04:09:58.499000Z,0.9999999999999992,2,S2A_MSIL2A_20210324T183021_R027_T11SLT_20210325T035150|S2A_MSIL2A_20210324T183021_R027_T11SLU_20210325T040958,11SLT|11SLU
